Date,Ticker,Type,Price,Shares,Cash_after
2024-01-29 05:00:00,AMCR,SELL,8.828644261858052,160.0,75929.81711528209
2024-01-29 05:00:00,AXP,SELL,198.03224824806745,7.0,77316.04285301856
2024-01-29 05:00:00,ACGL,BUY,75.37772008107066,20.0,75808.48845139715
2024-02-06 05:00:00,AVB,SELL,160.26356499723002,7.0,76930.33340637776
2024-02-07 05:00:00,A,BUY,134.7369585235993,11.0,75448.22686261816
2024-02-08 05:00:00,ALLE,SELL,125.92384551724784,12.0,76959.31300882513
2024-02-09 05:00:00,ADSK,SELL,262.8500061035156,5.0,78273.56303934271
2024-02-09 05:00:00,AOS,SELL,77.72502000002501,27.0,80372.13857934339
2024-02-12 05:00:00,AMZN,SELL,174.8000030517578,12.0,82469.73861596448
2024-02-12 05:00:00,APO,SELL,106.73201951732656,13.0,83857.25486968973
2024-02-14 05:00:00,A,SELL,129.28903784592617,11.0,85279.43428599491
2024-02-14 05:00:00,ADI,SELL,180.47822673340232,6.0,86362.30364639532
2024-02-15 05:00:00,AON,BUY,304.8301610616569,5.0,84838.15284108704
2024-02-15 05:00:00,A,BUY,131.25305883590036,12.0,83263.11613505623
2024-02-16 05:00:00,AMAT,SELL,198.85704218853647,8.0,84853.97247256452
2024-02-20 05:00:00,ADBE,SELL,531.5,2.0,85916.97247256452
2024-02-21 05:00:00,AMGN,SELL,271.7877772394886,4.0,87004.12358152248
2024-02-21 05:00:00,AOS,BUY,77.35715434532912,22.0,85302.26618592524
2024-02-22 05:00:00,A,SELL,130.74969892350526,12.0,86871.2625730073
2024-02-22 05:00:00,AKAM,SELL,108.47000122070312,14.0,88389.84259009715
2024-02-23 05:00:00,ABT,SELL,115.42261204132632,12.0,89774.91393459306
2024-02-23 05:00:00,AEP,BUY,77.013638711466,23.0,88003.60024422934
2024-02-27 05:00:00,AAPL,SELL,179.63461828889808,8.0,89440.67719054052
2024-02-27 05:00:00,AMP,SELL,398.9414391019505,4.0,91036.44294694831
2024-02-28 05:00:00,ABBV,SELL,169.24733641142743,7.0,92221.1743018283
2024-02-29 05:00:00,A,BUY,135.71401387090654,13.0,90456.89212150652
