Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,RealizedPNL
AXP,2024-07-12 04:00:00,2024-08-15 04:00:00,235.8069774456468,244.490503929938,34.0,295.23990046590103
ADBE,2024-06-20 04:00:00,2024-08-15 04:00:00,527.6699829101562,545.1900024414062,9.0,157.68017578125
AVB,2024-03-06 05:00:00,2024-08-23 04:00:00,174.24420894043436,210.07321071943144,20.0,716.5800355799416
APH,2024-08-26 04:00:00,2024-09-04 04:00:00,66.53475692962819,57.39166766805064,28.0,-256.0064993241714
AES,2024-08-29 04:00:00,2024-09-06 04:00:00,16.081371679807223,15.848308297272586,17.0,-3.9620775030888193
AIG,2024-09-03 04:00:00,2024-09-10 04:00:00,74.71058910406443,71.12838001438908,1.0,-3.582209089675345
AJG,2024-05-15 04:00:00,2024-09-10 04:00:00,246.4691153147106,296.85266488550445,3.0,151.15064871238158
APTV,2024-08-28 04:00:00,2024-09-11 04:00:00,70.4800033569336,65.31999969482422,14.0,-72.24005126953125
ADBE,2024-08-20 04:00:00,2024-09-18 04:00:00,564.47998046875,517.010009765625,4.0,-189.8798828125
ACN,2024-07-02 04:00:00,2024-10-03 04:00:00,294.20110573932976,353.0518446657832,21.0,1235.8655174555226
ADM,2024-09-25 04:00:00,2024-10-04 04:00:00,58.41044540429361,56.44900761337352,4.0,-7.845751163680376
ARE,2024-08-29 04:00:00,2024-10-09 04:00:00,110.81257909791933,107.37006857832615,4.0,-13.770042078372683
AWK,2024-07-12 04:00:00,2024-10-09 04:00:00,132.1922084727483,132.84719526944727,32.0,20.959577494367295
AON,2024-06-21 04:00:00,2024-10-10 04:00:00,293.89041084501343,357.061675314433,8.0,505.37011575535644
AEP,2024-07-18 04:00:00,2024-10-11 04:00:00,88.43873622165509,93.1155697352196,1.0,4.676833513564503
AES,2024-09-17 04:00:00,2024-10-11 04:00:00,17.89926474630048,16.06272638145222,58.0,-106.51922516119924
APH,2024-09-25 04:00:00,2024-10-11 04:00:00,65.59757940694877,63.89116156353699,1.0,-1.7064178434117778
ATO,2024-07-15 04:00:00,2024-10-17 04:00:00,116.93200904079096,140.83615565355143,18.0,430.2746390296885
AOS,2024-09-25 04:00:00,2024-10-18 04:00:00,83.85889862940498,77.06004590231275,1.0,-6.798852727092225
A,2024-08-01 04:00:00,2024-10-23 04:00:00,140.87126148558235,132.19768434123287,87.0,-754.6012115584048
ACGL,2024-08-19 04:00:00,2024-10-23 04:00:00,97.50513819671232,102.29766239765726,196.0,939.3347433852081
AJG,2024-10-14 04:00:00,2024-10-24 04:00:00,286.31776441666256,287.6768146418156,8.0,10.872401801224441
AEE,2024-07-18 04:00:00,2024-10-24 04:00:00,72.11961023355889,86.7772696180275,1.0,14.657659384468616
ARE,2024-10-21 04:00:00,2024-10-30 04:00:00,114.27290969759775,105.1224272799278,17.0,-155.5582011003891
AMCR,2024-07-23 04:00:00,2024-10-31 04:00:00,9.691263644651633,10.685278637530567,218.0,216.69526844760773
AIZ,2024-07-24 04:00:00,2024-11-01 04:00:00,170.01307749211878,189.0119431981325,6.0,113.99319423608239
AMD,2024-09-23 04:00:00,2024-11-01 04:00:00,156.4499969482422,144.44000244140625,3.0,-36.02998352050781
ADP,2024-07-25 04:00:00,2024-11-06 05:00:00,242.74345848234148,293.46768961956184,4.0,202.89692454888143
ADSK,2024-08-19 04:00:00,2024-11-06 05:00:00,248.5,299.0,38.0,1919.0
AMP,2024-08-26 04:00:00,2024-11-06 05:00:00,434.53564453125,546.785736794782,7.0,785.750645844724
APO,2024-09-23 04:00:00,2024-11-06 05:00:00,123.18208030592076,157.58887930461455,12.0,412.88158798432545
ADI,2024-09-23 04:00:00,2024-11-11 05:00:00,220.9785802854616,220.06431346292,3.0,-2.7428004676247326
AKAM,2024-10-10 04:00:00,2024-11-11 05:00:00,102.97000122070312,91.6500015258789,74.0,-837.6799774169922
APD,2024-08-06 04:00:00,2024-11-25 05:00:00,270.217717282466,324.7259753229511,56.0,3052.462450267165
AXP,2024-08-19 04:00:00,2024-11-25 05:00:00,248.6645088739122,299.8201703406187,19.0,971.957567867423
BAC,2024-09-27 04:00:00,2024-11-27 05:00:00,38.7383620656492,46.7205148384908,1.0,7.9821527728416015
AMZN,2024-09-17 04:00:00,2024-12-09 05:00:00,186.8500061035156,227.2100067138672,10.0,403.6000061035159
AFL,2024-11-22 05:00:00,2024-12-10 05:00:00,110.3315096112792,102.65936090785654,23.0,-176.45942017872127
AIG,2024-10-10 04:00:00,2024-12-10 05:00:00,75.74802699024201,72.50825175541702,50.0,-161.98876174124948
AEP,2024-12-03 05:00:00,2024-12-11 05:00:00,95.5694092212932,92.00367610874744,138.0,-492.0711695313145
ACN,2024-11-15 05:00:00,2024-12-13 05:00:00,355.2086187618822,354.51849001136264,26.0,-17.943347513507888
ADBE,2024-11-20 05:00:00,2024-12-17 05:00:00,505.4100036621094,460.5899963378906,9.0,-403.38006591796875
AJG,2024-11-14 05:00:00,2024-12-18 05:00:00,295.1167177536593,281.1993789791236,63.0,-876.7923427957505
ALGN,2024-12-04 05:00:00,2024-12-19 05:00:00,237.0,215.0,28.0,-616.0
ACN,2024-12-23 05:00:00,2024-12-27 05:00:00,355.50439886300205,353.7297286176326,67.0,-118.90290643975408
AKAM,2024-12-12 05:00:00,2024-12-30 05:00:00,99.19000244140624,96.23999786376952,108.0,-318.6004943847656
A,2024-12-09 05:00:00,2024-12-31 05:00:00,139.67701916751685,133.9724676110372,20.0,-114.09103112959315
APH,2024-10-16 04:00:00,2025-01-02 05:00:00,65.29002670850605,69.74846428982434,20.0,89.16875162636586
ALL,2024-07-22 04:00:00,2025-01-03 05:00:00,171.32837349235126,189.90166980585823,21.0,390.0392225836464
ACN,2025-01-06 05:00:00,2025-01-07 05:00:00,347.84379116702536,350.3480438638839,25.0,62.60631742146359
ALL,2025-01-06 05:00:00,2025-01-07 05:00:00,188.8177421374516,183.3686230052381,93.0,-506.76807929585516
AIZ,2024-11-08 05:00:00,2025-01-08 05:00:00,204.6168077135081,203.9356625288481,146.0,-99.44719696036157
ABT,2024-08-09 04:00:00,2025-01-15 05:00:00,106.74474896512076,110.6420401771222,234.0,911.9661436083356
AMAT,2025-01-17 05:00:00,2025-01-28 05:00:00,191.4617428675193,172.36517180857385,27.0,-515.607418591527
AOS,2025-01-29 05:00:00,2025-01-30 05:00:00,68.33350703809768,65.16865323518803,6.0,-18.989122817457883
ACGL,2025-01-31 05:00:00,2025-02-03 05:00:00,93.9499969482422,92.56999969482422,1.0,-1.379997253417983
APA,2025-01-08 05:00:00,2025-02-04 05:00:00,22.31970380519269,20.301888599044048,724.0,-1460.898209251618
ALGN,2025-01-30 05:00:00,2025-02-05 05:00:00,226.58999633789065,217.00999450683597,1.0,-9.580001831054688
ADI,2025-01-21 05:00:00,2025-02-05 05:00:00,216.4349805676635,202.81091753394827,12.0,-163.48875640458277
APH,2025-01-27 05:00:00,2025-02-06 05:00:00,70.56376720461184,69.81805761698182,3.0,-2.237128762890052
AIZ,2025-02-07 05:00:00,2025-02-14 05:00:00,212.4173258386676,205.57987210456167,21.0,-143.58652841622464
AFL,2025-01-31 05:00:00,2025-02-18 05:00:00,106.07247761448988,101.6167288809625,1.0,-4.455748733527386
A,2025-01-08 05:00:00,2025-02-20 05:00:00,136.82463285443882,136.80477562815102,235.0,-4.66644817763239
BAC,2025-01-16 05:00:00,2025-02-27 05:00:00,46.17480498750408,43.31589535225252,455.0,-1300.8038840394615
APA,2025-02-20 05:00:00,2025-02-28 05:00:00,22.452065491719218,19.313192061409897,387.0,-1214.7440175297072
